,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
215,hami,100.0,CN,1566176973,39.0,42.84,93.51,68.7,19.8
216,hasaki,75.0,JP,1566176975,94.0,35.73,140.83,82.4,9.17
217,asosa,0.0,ET,1566176978,84.0,10.07,34.53,62.76,3.2
218,pisco,75.0,PE,1566176981,82.0,-13.71,-76.2,60.8,4.7
219,bolungarvik,,,,,,,,
220,makakilo city,90.0,US,1566176987,58.0,21.35,-158.09,91.4,3.36
221,bend,1.0,US,1566176850,18.0,44.06,-121.32,89.6,14.99
222,pangai,90.0,TO,1566176992,100.0,-19.8,-174.35,73.4,9.17
223,wangqing,88.0,CN,1566176995,95.0,43.31,129.76,62.76,3.38
224,dingle,89.0,PH,1566176998,77.0,11.0,122.67,79.86,0.98
225,codrington,0.0,AU,1566177001,38.0,-28.95,153.24,77.0,14.99
226,talnakh,0.0,RU,1566176857,87.0,69.49,88.39,57.2,6.71
227,kedougou,0.0,SN,1566177006,83.0,12.56,-12.19,75.2,4.7
228,samusu,,,,,,,,
229,porto walter,61.0,BR,1566177012,53.0,-8.27,-72.74,80.04,2.04
230,paita,51.0,PE,1566177015,92.0,-5.09,-81.11,61.32,20.4
231,voh,0.0,NC,1566177017,70.0,-20.95,164.69,69.24,13.94
232,mbengwi,100.0,CM,1566177020,98.0,6.0,10.01,61.86,4.03
233,verkhoyansk,97.0,RU,1566177023,63.0,67.55,133.39,62.22,1.83
234,xichang,84.0,CN,1566177026,92.0,27.88,102.25,61.5,1.1
235,tutoia,68.0,BR,1566177029,85.0,-2.76,-42.27,74.82,5.75
236,leningradskiy,100.0,RU,1566177032,97.0,69.38,178.42,44.4,3.98
237,anadyr,75.0,RU,1566177035,87.0,64.73,177.51,53.6,4.47
238,akdepe,0.0,TM,1566177038,40.0,42.05,59.39,75.2,6.93
239,upernavik,0.0,GL,1566176811,69.0,72.79,-56.15,41.34,2.73
240,alice springs,0.0,AU,1566176951,43.0,-23.7,133.88,51.8,19.46
241,kalmunai,86.0,LK,1566177046,88.0,7.42,81.82,75.36,1.7
242,muros,0.0,ES,1566177049,100.0,42.77,-9.06,63.0,1.12
243,iqaluit,40.0,CA,1566176828,87.0,63.75,-68.52,42.8,3.36
244,boende,22.0,CD,1566177054,78.0,-0.28,20.88,73.56,2.21
245,ayagoz,33.0,KZ,1566177057,69.0,47.96,80.43,55.92,5.84
246,mayskiy,75.0,RU,1566177060,77.0,43.63,44.06,69.8,2.24
247,lar,0.0,IR,1566176888,60.0,27.66,54.32,75.2,0.6
248,nanzhou,0.0,CN,1566177065,79.0,29.37,112.41,81.12,7.23
249,port lincoln,68.0,AU,1566177068,65.0,-34.72,135.86,53.94,20.58
250,mosetse,0.0,BW,1566177071,67.0,-20.64,26.64,56.1,11.18
251,katherine,75.0,AU,1566177074,51.0,-14.47,132.26,84.2,3.36
252,buenaventura,0.0,CO,1566177076,83.0,3.89,-77.07,79.68,10.27
253,san jose,90.0,HN,1566177079,100.0,14.25,-87.96,73.4,9.17
254,calvinia,38.0,ZA,1566177082,87.0,-31.47,19.78,47.1,4.5
255,butler,90.0,US,1566177085,88.0,41.43,-84.87,77.0,16.11
256,sao benedito do rio preto,50.0,BR,1566177088,61.0,-3.33,-43.53,77.88,3.89
257,geraldton,75.0,CA,1566177091,93.0,49.72,-86.95,60.8,8.05
258,barkhan,0.0,PK,1566177094,70.0,29.9,69.52,75.72,7.0
259,jaru,74.0,BR,1566177096,47.0,-10.43,-62.48,83.1,3.53
260,armizonskoye,100.0,RU,1566177099,93.0,55.95,67.67,57.54,6.15
261,sioux lookout,40.0,CA,1566177102,42.0,50.1,-91.92,68.0,6.93
262,balkanabat,0.0,TM,1566177105,15.0,39.51,54.36,83.28,12.26
263,vinh,97.0,VN,1566177109,75.0,18.67,105.69,81.48,3.04
264,grand gaube,75.0,MU,1566177029,94.0,-20.01,57.66,69.01,12.44
265,lorengau,15.0,PG,1566177114,81.0,-2.02,147.27,82.2,9.93
266,ilhabela,50.0,BR,1566177117,64.0,-23.78,-45.36,75.9,5.68
267,bitung,20.0,ID,1566177120,58.0,1.44,125.19,87.8,2.59
268,bemidji,1.0,US,1566176897,52.0,47.48,-94.89,68.0,4.7
269,rantepao,87.0,ID,1566177035,93.0,-2.97,119.9,62.22,2.66
270,remontnoye,0.0,RU,1566177128,49.0,46.56,43.66,69.8,6.71
271,macheng,9.0,CN,1566177131,68.0,31.18,115.03,82.56,3.33
272,guaruja,0.0,BR,1566177134,68.0,-23.99,-46.26,69.8,13.87
273,cacu,82.0,BR,1566177137,37.0,-18.56,-51.13,79.32,4.41
274,arraial do cabo,2.0,BR,1566177139,66.0,-22.97,-42.02,73.74,7.65
275,tiksi,75.0,RU,1566177130,78.0,71.64,128.87,51.42,2.15
276,terrace,75.0,CA,1566177057,63.0,54.52,-128.61,62.6,12.75
277,quelimane,40.0,MZ,1566177148,93.0,-17.88,36.89,66.2,4.7
278,sao joao da barra,14.0,BR,1566177078,68.0,-21.64,-41.05,68.88,2.55
279,vuktyl,0.0,RU,1566177153,90.0,63.86,57.31,49.26,2.84
280,boa vista,0.0,BR,1566177062,88.0,2.82,-60.67,77.0,3.36
281,jawhar,13.0,IN,1566177159,95.0,19.91,73.23,74.82,4.14
282,college,1.0,US,1566177127,38.0,64.86,-147.8,59.0,6.93
283,cabo san lucas,5.0,MX,1566176875,49.0,22.89,-109.91,91.4,11.41
284,la ronge,75.0,CA,1566177167,71.0,55.1,-105.3,55.4,11.41
285,samalaeulu,,,,,,,,
286,nizhneyansk,,,,,,,,
287,mindyak,40.0,RU,1566177175,93.0,54.02,58.79,60.8,8.95
288,chizhou,17.0,CN,1566177178,82.0,30.67,117.49,76.98,8.1
289,cidreira,38.0,BR,1566177140,70.0,-30.17,-50.22,51.42,15.59
290,rauma,100.0,FI,1566177184,93.0,61.13,21.5,60.8,14.99
291,luau,0.0,CD,1566177187,32.0,-10.7,22.23,64.74,4.52
292,villazon,,,,,,,,
293,fort nelson,90.0,CA,1566177138,87.0,58.81,-122.69,44.6,6.93
294,baoro,40.0,CF,1566177195,96.0,5.69,15.95,64.92,1.97
295,trairi,66.0,BR,1566177198,86.0,-3.28,-39.27,72.12,4.99
296,del rio,1.0,US,1566177201,29.0,29.36,-100.9,102.2,9.17
297,barbar,,,,,,,,
298,marsh harbour,19.0,BS,1566177207,74.0,26.54,-77.06,84.0,15.97
299,avera,1.0,US,1566177209,62.0,33.19,-82.53,86.0,5.82
300,saint-philippe,90.0,CA,1566177106,88.0,45.36,-73.48,78.8,5.14
301,smirnykh,100.0,RU,1566177215,96.0,49.74,142.83,49.44,4.41
302,diamantina,0.0,BR,1566177218,36.0,-18.24,-43.6,66.36,3.94
303,puerto quijarro,29.0,BO,1566177221,35.0,-19.0,-57.72,80.22,6.53
304,roald,94.0,NO,1566177224,81.0,62.58,6.12,55.99,5.82
305,kamenskoye,,,,,,,,
306,bengkulu,,,,,,,,
307,fez,0.0,MA,1566177233,52.0,34.03,-5.02,69.8,5.82
308,cururupu,38.0,BR,1566177236,92.0,-1.82,-44.87,72.66,2.62
309,hualmay,95.0,PE,1566177238,86.0,-11.1,-77.61,59.52,10.27
310,esperance,90.0,AU,1566177241,93.0,-33.86,121.89,46.4,8.05
311,akyab,,,,,,,,
312,uvat,80.0,RU,1566177247,83.0,59.14,68.9,50.52,4.99
313,hofn,91.0,IS,1566177250,84.0,64.25,-15.21,34.14,21.97
314,san cristobal,75.0,HN,1566177184,68.0,14.68,-86.92,72.3,6.55
315,torbay,90.0,CA,1566177234,88.0,47.66,-52.73,64.0,5.82
316,narsaq,99.0,GL,1566177258,93.0,60.91,-46.05,44.6,2.24
317,ruatoria,,,,,,,,
318,belousovka,5.0,KZ,1566177263,100.0,50.13,82.52,53.6,2.24
319,ajra,75.0,IN,1566177266,94.0,16.12,74.21,69.8,1.39
320,belushya guba,,,,,,,,
321,mutis,65.0,CO,1566177272,81.0,6.23,-77.4,80.04,3.31
322,klichka,30.0,RU,1566177275,75.0,50.44,118.0,59.7,1.07
323,sentyabrskiy,,,,,,,,
324,siuna,88.0,NI,1566177280,88.0,13.73,-84.78,71.94,2.3
325,saldanha,0.0,PT,1566177283,69.0,41.42,-6.55,59.34,3.51
326,nanortalik,100.0,GL,1566177286,95.0,60.14,-45.24,40.8,0.83
327,severo-kurilsk,20.0,RU,1566177289,86.0,50.68,156.12,51.24,9.01
328,kearney,1.0,US,1566177291,78.0,40.7,-99.08,77.0,5.82
329,bathsheba,19.0,BB,1566177294,79.0,13.22,-59.52,82.56,12.64
330,wanning,40.0,AT,1566177297,72.0,48.64,13.53,71.01,5.82
331,nola,58.0,CF,1566177300,96.0,3.52,16.05,68.52,1.03
332,honiara,75.0,SB,1566177303,83.0,-9.43,159.96,80.6,6.93
333,fairbanks,1.0,US,1566177305,38.0,64.84,-147.72,59.0,6.93
334,mackay,90.0,CA,1566177309,100.0,53.65,-115.58,50.0,6.93
335,grindavik,0.0,IS,1566177312,81.0,63.84,-22.43,46.4,14.99
336,santiago del estero,0.0,AR,1566177315,46.0,-27.8,-64.26,58.08,8.59
337,udachnyy,0.0,RU,1566177194,47.0,66.42,112.4,57.2,4.47
338,bani walid,0.0,LY,1566177320,77.0,31.76,14.0,66.18,7.4
339,adrar,0.0,DZ,1566177323,10.0,27.87,-0.29,91.4,9.17
340,alofi,49.0,NU,1566177326,94.0,-19.06,-169.92,77.0,3.36
341,odweyne,,,,,,,,
342,goulburn,78.0,AU,1566177331,82.0,-34.75,149.72,48.0,7.0
343,praia da vitoria,75.0,PT,1566177334,82.0,38.73,-27.07,68.0,23.44
344,pudozh,100.0,RU,1566177337,90.0,61.81,36.54,57.36,5.1
345,vestmannaeyjar,89.0,IS,1566177340,67.0,63.44,-20.27,50.16,11.97
346,meybod,0.0,IR,1566177342,11.0,32.25,54.02,71.6,4.7
347,mutare,1.0,MZ,1566177345,97.0,-18.97,32.67,51.42,2.77
348,attawapiskat,,,,,,,,
349,tezu,89.0,IN,1566177351,94.0,27.93,96.16,73.92,2.44
350,mount gambier,33.0,AU,1566177094,81.0,-37.83,140.78,46.4,20.8
351,qui nhon,,,,,,,,
352,san patricio,100.0,PY,1566177359,73.0,-26.98,-56.83,57.72,11.41
353,kahului,40.0,US,1566177362,58.0,20.89,-156.47,87.8,25.28
354,halalo,,,,,,,,
355,dolores,0.0,UY,1566177367,77.0,-33.53,-58.22,46.99,17.0
356,karratha,0.0,AU,1566177370,23.0,-20.74,116.85,62.22,27.34
357,nelidovo,71.0,RU,1566177373,99.0,56.22,32.78,52.86,3.06
358,wanlaweyn,8.0,SO,1566177376,81.0,2.62,44.89,72.84,12.01
359,santa rosa,61.0,AR,1566177378,53.0,-36.62,-64.29,40.26,8.16
360,vostok,94.0,RU,1566177381,85.0,46.45,135.83,61.86,3.06
361,verkhnevilyuysk,100.0,RU,1566177384,97.0,63.45,120.31,51.06,6.78
362,elko,1.0,US,1566177387,9.0,40.83,-115.76,93.2,14.79
363,prince rupert,1.0,CA,1566177390,71.0,54.32,-130.32,57.2,3.36
364,luxeuil-les-bains,75.0,FR,1566177393,100.0,47.82,6.38,64.4,2.24
365,sozimskiy,99.0,RU,1566177396,98.0,59.74,52.25,57.72,9.4
366,cherskiy,0.0,RU,1566177398,57.0,68.75,161.3,63.12,7.61
367,lao cai,84.0,VN,1566177401,96.0,22.48,103.95,67.44,1.88
368,vokhtoga,100.0,RU,1566177404,99.0,58.81,41.03,59.52,3.71
369,lolua,,,,,,,,
370,sarangani,67.0,PH,1566177409,76.0,5.4,125.46,82.2,11.14
